embedding,classifier,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
csdr1_raw4_catflags_filtered_embs_chronos_bolt_tiny_trn_val_tst_ctx200_bandgr,knn,0.8073 ± 0.0000,0.6465 ± 0.0000,0.5417 ± 0.0000,0.5696 ± 0.0000,0.7870 ± 0.0000,0.8073 ± 0.0000,0.7890 ± 0.0000
csdr1_raw4_catflags_filtered_embs_chronos_bolt_tiny_trn_val_tst_ctx200_bandgr,logistic,0.7086 ± 0.0000,0.5489 ± 0.0000,0.6757 ± 0.0000,0.5797 ± 0.0000,0.8278 ± 0.0000,0.7086 ± 0.0000,0.7479 ± 0.0000
csdr1_raw4_catflags_filtered_embs_chronos_t5_tiny_trn_val_tst_ctx200_bandgr,knn,0.8568 ± 0.0000,0.7986 ± 0.0000,0.6227 ± 0.0000,0.6719 ± 0.0000,0.8489 ± 0.0000,0.8568 ± 0.0000,0.8465 ± 0.0000
csdr1_raw4_catflags_filtered_embs_chronos_t5_tiny_trn_val_tst_ctx200_bandgr,logistic,0.7497 ± 0.0000,0.5747 ± 0.0000,0.7296 ± 0.0000,0.6167 ± 0.0000,0.8432 ± 0.0000,0.7497 ± 0.0000,0.7795 ± 0.0000
csdr1_raw_embs_moiral_small_trn_val_tst_ctx200_pdt64_psz16_bandgr,knn,0.8086 ± 0.0000,0.6622 ± 0.0000,0.5095 ± 0.0000,0.5543 ± 0.0000,0.7872 ± 0.0000,0.8086 ± 0.0000,0.7818 ± 0.0000
csdr1_raw_embs_moiral_small_trn_val_tst_ctx200_pdt64_psz16_bandgr,logistic,0.7054 ± 0.0000,0.5443 ± 0.0000,0.6799 ± 0.0000,0.5791 ± 0.0000,0.8179 ± 0.0000,0.7054 ± 0.0000,0.7416 ± 0.0000
hf_csdr1_multiband_raw4_embeddings_astromer_1_subclass_pad_correct,knn,0.6435 ± 0.0000,0.1301 ± 0.0000,0.1408 ± 0.0000,0.1220 ± 0.0000,0.4769 ± 0.0000,0.6435 ± 0.0000,0.5387 ± 0.0000
hf_csdr1_multiband_raw4_embeddings_astromer_1_subclass_pad_correct,logistic,0.0731 ± 0.0000,0.1467 ± 0.0000,0.1646 ± 0.0000,0.0720 ± 0.0000,0.4785 ± 0.0000,0.0731 ± 0.0000,0.0874 ± 0.0000
hf_csdr1_multiband_raw4_embeddings_astromer_2_gr_sampling_True,knn,0.8230 ± 0.0000,0.6604 ± 0.0000,0.4885 ± 0.0000,0.5372 ± 0.0000,0.8001 ± 0.0000,0.8230 ± 0.0000,0.8037 ± 0.0000
hf_csdr1_multiband_raw4_embeddings_astromer_2_gr_sampling_True,logistic,0.6482 ± 0.0000,0.4855 ± 0.0000,0.6682 ± 0.0000,0.5207 ± 0.0000,0.8171 ± 0.0000,0.6482 ± 0.0000,0.6970 ± 0.0000
random,knn,0.6482 ± 0.0000,0.1198 ± 0.0000,0.1403 ± 0.0000,0.1195 ± 0.0000,0.4730 ± 0.0000,0.6482 ± 0.0000,0.5387 ± 0.0000
random,logistic,0.0940 ± 0.0000,0.1444 ± 0.0000,0.1277 ± 0.0000,0.0756 ± 0.0000,0.4993 ± 0.0000,0.0940 ± 0.0000,0.1207 ± 0.0000
